date,description,amount,type
2024-11-01,Urban Company booking,505.41,credit
2024-11-01,Online shopping,8997.17,debit
2024-11-02,Job completed payout,1327.75,credit
2024-11-02,Grocery,399.34,debit
2024-11-03,Ola driver payout,873.83,credit
2024-11-04,Ola driver payout,1241.82,credit
2024-11-04,Grocery,194.17,debit
2024-11-05,BHIM UPI credit,682.64,credit
2024-11-05,EMI debit,399.25,debit
2024-11-06,Google Pay received,642.08,credit
2024-11-06,Rent payment,253.21,debit
2024-11-07,Insurance premium,427.58,debit
2024-11-07,Grocery,958.3,debit
2024-11-12,Customer payment,1617.85,credit
2024-11-13,Trip earning,1013.81,credit
2024-11-13,EMI debit,239.21,debit
2024-11-14,Google Pay received,200.0,credit
2024-11-15,Google Pay received,607.36,credit
2024-11-15,Food order,179.88,debit
2024-11-16,Job completed payout,922.63,credit
2024-11-17,Ola driver payout,1024.45,credit
2024-11-17,Fuel recharge,170.99,debit
2024-11-18,Mobile recharge,384.5,debit
2024-11-20,EMI debit,470.55,debit
2024-11-20,Insurance premium,701.34,debit
2024-11-21,EMI debit,186.26,debit
2024-11-22,EMI debit,318.77,debit
2024-11-23,Rent payment,344.69,debit
2024-11-23,Electricity bill,695.0,debit
2024-11-24,Medicine,300.19,debit
2024-11-25,Urban Company booking,796.85,credit
2024-11-26,Paytm credit,759.44,credit
2024-11-27,Ola driver payout,992.5,credit
2024-11-28,Customer payment,927.09,credit
2024-11-28,Mobile recharge,691.29,debit
2024-11-29,Customer payment,1073.84,credit
2024-11-30,Electricity bill,213.49,debit
2024-11-30,Electricity bill,960.14,debit
2024-12-01,Electricity bill,7139.17,debit
2024-12-02,Insurance premium,335.67,debit
2024-12-03,Mobile recharge,205.09,debit
2024-12-04,Electricity bill,479.49,debit
2024-12-05,Trip earning,895.55,credit
2024-12-05,Online shopping,1028.11,debit
2024-12-06,Paytm credit,642.15,credit
2024-12-06,Online shopping,178.55,debit
2024-12-07,Urban Company booking,1117.04,credit
2024-12-07,Food order,362.48,debit
2024-12-08,Trip earning,1413.37,credit
2024-12-08,Electricity bill,329.32,debit
2024-12-09,Rent payment,387.38,debit
2024-12-10,EMI debit,257.95,debit
2024-12-11,Food order,643.1,debit
2024-12-14,Grocery,324.08,debit
2024-12-15,EMI debit,336.4,debit
2024-12-16,Rent payment,383.82,debit
2024-12-17,Job completed payout,730.98,credit
2024-12-17,Mobile recharge,409.71,debit
2024-12-18,Urban Company booking,419.1,credit
2024-12-18,Food order,177.25,debit
2024-12-19,Urban Company booking,605.97,credit
2024-12-19,Fuel recharge,291.55,debit
2024-12-20,Google Pay received,1283.86,credit
2024-12-20,Grocery,291.76,debit
2024-12-21,Trip earning,563.35,credit
2024-12-21,Insurance premium,481.67,debit
2024-12-22,Swiggy payment received,1142.95,credit
2024-12-23,Medicine,187.05,debit
2024-12-24,Insurance premium,177.53,debit
2024-12-26,Rent payment,943.26,debit
2024-12-27,Mobile recharge,217.87,debit
2024-12-28,Electricity bill,485.38,debit
2024-12-29,Ola driver payout,481.38,credit
2024-12-29,Medicine,185.98,debit
2024-12-30,Trip earning,810.22,credit
2024-12-30,Electricity bill,203.5,debit
2024-12-31,Urban Company booking,672.06,credit
2024-12-31,Rent payment,482.95,debit
2025-01-01,Mobile recharge,7927.91,debit
2025-01-01,EMI debit,352.81,debit
2025-01-05,Online shopping,314.12,debit
2025-01-07,EMI debit,175.97,debit
2025-01-08,BHIM UPI credit,998.49,credit
2025-01-08,EMI debit,279.06,debit
2025-01-09,Urban Company booking,773.76,credit
2025-01-10,Urban Company booking,727.41,credit
2025-01-10,Grocery,357.93,debit
2025-01-11,Paytm credit,496.45,credit
2025-01-11,EMI debit,483.98,debit
2025-01-12,Fuel recharge,468.17,debit
2025-01-13,Food order,361.75,debit
